#code  score
4llx 0.87850
5c28 0.63984
3uuo 0.94360
3ui7 0.90631
5c2h 0.99142
2v00 0.75577
3wz8 0.88828
3pww 0.91253
3prs 0.92902
3uri 0.98043
4m0z 0.97298
4m0y 0.93776
3qgy 0.85189
4qd6 0.78213
4rfm 0.92938
4cr9 0.89174
4cra 0.97557
4x6p 0.97409
4crc 0.94542
4ty7 0.95223
5aba 0.81363
5a7b 0.93504
4agn 0.90423
4agp 0.96767
4agq 0.96396
3bgz 0.94410
3jya 0.83244
2c3i 0.84380
4k18 0.90826
5dwr 0.96853
3mss 0.79113
3k5v 0.89992
3pyy 0.84371
2v7a 0.99724
4twp 0.84551
3wtj 0.88673
3zdg 0.99011
3u8k 0.98692
4qac 0.99000
3u8n 0.99736
1a30 0.50769
2qnq 0.90848
1g2k 0.99547
1eby 0.99679
3o9i 0.99147
4lzs 0.91531
3u5j 0.95958
4wiv 0.82963
4ogj 0.80724
3p5o 0.97546
1ps3 0.98768
3dx1 0.99053
3d4z 0.97036
3dx2 0.99802
3ejr 0.96464
3l7b 0.60820
4eky 0.88661
3g2n 0.97785
3syr 0.97832
3ebp 0.60501
2w66 0.98736
2w4x 0.98380
2wca 0.88103
2xj7 0.98802
2vvn 0.98659
3aru 0.91589
3arv 0.88559
3ary 0.84358
3arq 0.77584
3arp 0.85841
4ih5 0.41752
4ih7 0.95138
3cj4 0.94351
4eo8 0.95402
3gnw 0.99258
1gpk 0.87267
1gpn 0.79857
1h23 0.97450
1h22 0.98609
1e66 0.99230
3f3a 0.83457
3f3c 0.85092
4mme 0.88898
3f3d 0.98690
3f3e 0.97945
2wbg 0.99612
2cbv 0.71192
2j78 0.95221
2j7h 0.98550
2cet 0.97504
3udh 0.98422
3rsx 0.87243
4djv 0.99107
2vkm 0.92972
4gid 0.99240
4jfs 0.98413
4j28 0.97920
2wvt 0.98552
2xii 0.99518
4pcs 0.99416
3rr4 0.98068
1s38 0.99689
1r5y 0.99665
3gc5 0.99981
3ge7 0.99961
4dli 0.82458
2zb1 0.88217
4f9w 0.98376
3e92 0.97043
3e93 0.95762
4owm 0.92666
3twp 0.87577
3r88 0.94059
4gkm 0.98917
3qqs 0.98621
3gv9 0.57657
3gr2 0.47113
4kz6 0.85771
4jxs 0.90333
2r9w 0.78173
2hb1 0.93804
1bzc 0.91423
2qbr 0.91754
2qbq 0.83764
2qbp 0.93171
1q8t 0.77897
1ydr 0.93065
1q8u 0.87905
1ydt 0.98387
3ag9 0.89320
3fcq 0.45631
1z9g 0.85829
1qf1 0.99413
5tmn 0.96798
4tmn 0.87974
4ddk 0.83295
4ddh 0.93201
3ivg 0.97502
3coz 0.98548
3coy 0.99358
3pxf 0.54708
4eor 0.97049
2xnb 0.99533
1pxn 0.99586
2fvd 0.99572
4k77 0.88001
4e5w 0.97203
4ivb 0.99526
4ivd 0.99131
4ivc 0.99706
4f09 0.98727
4gfm 0.96448
4hge 0.93826
4e6q 0.98706
4jia 0.84905
2brb 0.68545
2br1 0.67477
3jvr 0.99404
3jvs 0.86655
1nvq 0.99556
3acw 0.83647
4ea2 0.69498
2zcr 0.67979
2zy1 0.91264
2zcq 0.93747
1bcu 0.86910
3bv9 0.76006
1oyt 0.94788
2zda 0.99431
3utu 0.99169
3u9q 0.95229
2yfe 0.84241
3fur 0.94911
3b1m 0.82322
2p4y 0.99487
3uo4 0.94488
3up2 0.97184
3e5a 0.97443
2wtv 0.99409
3myg 0.98369
3kgp 0.95339
1c5z 0.97420
1o5b 0.96826
1owh 0.89637
1sqa 0.92982
4jsz 0.38359
3kwa 0.09795
2weg 0.97255
3ryj 0.96049
3dd0 0.98946
2xdl 0.88828
3b27 0.90379
1yc1 0.96911
3rlr 0.87973
2yki 0.99243
1z95 0.92107
3b68 0.98129
3b5r 0.99394
3b65 0.99671
3g0w 0.98876
4u4s 0.87530
1p1q 0.89957
1syi 0.98808
1p1n 0.95163
2al5 0.99454
3g2z 0.63663
3g31 0.78951
4de2 0.88806
4de3 0.87581
4de1 0.86045
1vso 0.95918
4dld 0.92684
3gbb 0.99623
3fv2 0.98243
3fv1 0.99357
4mgd 0.99160
2qe4 0.91363
1qkt 0.89280
2pog 0.95251
2p15 0.98738
2y5h 0.93649
1lpg 0.97990
2xbv 0.98914
1z6e 0.99591
1mq6 0.99593
1nc3 0.99565
1nc1 0.86352
1y6r 0.99814
4f2w 0.99882
4f3c 0.99866
1uto 0.85633
4abg 0.96282
3gy4 0.94400
1k1i 0.92620
1o3f 0.95738
2yge 0.87781
2fxs 0.84286
2iwx 0.91768
2wer 0.78743
2vw5 0.96023
4kzq 0.90501
4kzu 0.88995
4j21 0.96454
4j3l 0.95860
3kr8 0.97176
2ymd 0.89501
2wnc 0.94214
2xys 0.98002
2wn9 0.93711
2x00 0.96884
3ozt 0.99470
3ozs 0.98579
3oe5 0.99530
3oe4 0.96542
3nw9 0.96736
3ao4 0.90754
3zt2 0.92728
3zsx 0.67741
4cig 0.91107
3zso 0.95321
3n7a 0.97694
4ciw 0.96612
3n86 0.99340
3n76 0.97329
2xb8 0.98185
4bkt 0.92559
4w9c 0.91228
4w9l 0.97962
4w9i 0.97119
4w9h 0.95350
3nq9 0.59734
3ueu 0.73778
3uev 0.81433
3uew 0.67962
3uex 0.84425
3lka 0.77912
3ehy 0.91241
3tsk 0.84094
3nx7 0.91809
4gr0 0.96896
3dxg 0.49006
3d6q 0.51181
1w4o 0.85955
1o0h 0.94277
1u1b 0.94335
